SPECIES,id_level,nei_levels,excluded,farmed,wild_caught,farmed_only
BBU,Species,NA,included,yes,NA,yes
BBK,Species,NA,included,yes,NA,yes
BBZ,Species,NA,included,NA,yes,NA
HON,Species,NA,included,yes,yes,NA
FCC,Species,NA,included,yes,yes,NA
CGO,Species,NA,included,yes,yes,NA
WDX,Nei,genus,included,yes,NA,yes
FRO,Species,NA,included,yes,yes,NA
RFR,Species,NA,included,yes,yes,NA
RWC,Species,NA,included,NA,yes,NA
FRX,Nei,genus,included,yes,yes,NA
SRE,Species,NA,included,yes,yes,NA
FID,Species,NA,included,yes,yes,NA
FIE,Species,NA,included,NA,yes,NA
LUH,Species,NA,included,yes,yes,NA
LEW,Nei,genus,included,yes,yes,NA
LCB,Species,NA,included,yes,NA,yes
LBM,Species,NA,included,yes,NA,yes
LRH,Species,NA,included,yes,NA,yes
LOC,Species,NA,included,yes,NA,yes
RHI,Nei,genus,included,yes,yes,NA
MUC,Species,NA,included,yes,yes,NA
CMG,Species,NA,included,yes,NA,yes
RNM,Species,NA,included,yes,NA,yes
CTT,Species,NA,included,yes,NA,yes
FCG,Species,NA,included,yes,yes,NA
YCA,Species,NA,included,NA,yes,NA
YCQ,Species,NA,included,NA,yes,NA
HML,Species,NA,included,NA,yes,NA
SVC,Species,NA,included,yes,yes,NA
BIC,Species,NA,included,yes,yes,NA
HXP,Nei,genus,included,yes,NA,yes
LZF,Species,NA,included,NA,yes,NA
FCN,Species,NA,included,yes,yes,NA
PRJ,Species,NA,included,yes,NA,yes
RSZ,Species,NA,included,NA,yes,NA
TWY,Species,NA,included,NA,yes,NA
TOB,Species,NA,included,yes,NA,yes
TZD,Species,NA,included,NA,yes,NA
ROG,Species,NA,included,yes,NA,yes
ENA,Species,NA,included,NA,yes,NA
AHT,Species,NA,included,NA,yes,NA
ZAP,Species,NA,included,NA,yes,NA
VIV,Species,NA,included,yes,yes,NA
FSC,Species,NA,included,yes,yes,NA
ASU,Species,NA,included,yes,yes,NA
NUC,Species,NA,included,yes,yes,NA
AWT,Species,NA,included,NA,yes,NA
BBR,Species,NA,included,NA,yes,NA
FCH,Species,NA,included,yes,yes,NA
BKC,Species,NA,included,yes,yes,NA
OEC,Species,NA,included,NA,yes,NA
WUB,Species,NA,included,yes,yes,NA
PUI,Species,NA,included,NA,yes,NA
FAB,Nei,genus,included,yes,NA,yes
ENL,Species,NA,included,NA,yes,NA
YHX,Nei,genus,included,yes,NA,yes
MCO,Species,NA,included,NA,yes,NA
MZP,Species,NA,included,NA,yes,NA
ARH,Species,NA,included,NA,yes,NA
OBL,Species,NA,included,yes,NA,yes
WPU,Species,NA,included,NA,yes,NA
SZU,Species,NA,included,NA,yes,NA
QEZ,Nei,genus,included,NA,yes,NA
PUS,Species,NA,included,yes,NA,yes
ABK,Species,NA,included,yes,yes,NA
PTG,Species,NA,included,yes,yes,NA
BFS,Species,NA,included,yes,yes,NA
VBE,Species,NA,included,NA,yes,NA
FCY,Nei,family,included,yes,yes,NA
KUR,Species,NA,included,yes,yes,NA
MWT,Species,NA,included,NA,yes,NA
BMW,Species,NA,included,NA,yes,NA
TWS,Species,NA,included,NA,yes,NA
AXP,Species,NA,included,NA,yes,NA
AWX,Nei,genus,included,NA,yes,NA
BEM,Species,NA,included,NA,yes,NA
GYP,Species,NA,included,NA,yes,NA
GAT,Species,NA,included,NA,yes,NA
AUX,Species,NA,included,NA,yes,NA
CAX,Nei,family,included,NA,yes,NA
OXK,Species,NA,included,NA,yes,NA
DPZ,Species,NA,included,NA,yes,NA
PYS,Species,NA,included,NA,yes,NA
DPG,Species,NA,included,NA,yes,NA
GJZ,Species,NA,included,NA,yes,NA
CAE,Nei,genus,included,NA,yes,NA
SOM,Species,NA,included,yes,yes,NA
SRO,Species,NA,included,yes,NA,yes
CAG,Nei,genus,included,NA,yes,NA
OKB,Species,NA,included,NA,yes,NA
WAA,Species,NA,included,yes,NA,yes
WAX,Nei,genus,included,yes,NA,yes
AUO,Species,NA,included,NA,yes,NA
AUB,Species,NA,included,NA,yes,NA
MYN,Species,NA,included,yes,yes,NA
JBZ,Species,NA,included,NA,yes,NA
LLZ,Species,NA,included,yes,NA,yes
BMZ,Species,NA,included,NA,yes,NA
CSR,Species,NA,included,yes,yes,NA
BCR,Species,NA,included,NA,yes,NA
IQL,Species,NA,included,NA,yes,NA
IQM,Species,NA,included,NA,yes,NA
IQN,Species,NA,included,NA,yes,NA
CST,Nei,genus,included,yes,yes,NA
BGJ,Species,NA,included,yes,yes,NA
CAN,Nei,genus,included,yes,yes,NA
YCH,Species,NA,included,yes,NA,yes
BVF,Nei,family,included,yes,NA,yes
ITP,Species,NA,included,yes,yes,NA
ITF,Species,NA,included,NA,yes,NA
CAF,Nei,genus,included,yes,yes,NA
ITM,Species,NA,included,yes,yes,NA
ITE,Species,NA,included,NA,yes,NA
IPO,Species,NA,included,NA,yes,NA
ILP,Species,NA,included,NA,yes,NA
CBT,Species,NA,included,yes,yes,NA
CFS,Species,NA,included,yes,NA,yes
CLZ,Species,NA,included,yes,yes,NA
CLN,Species,NA,included,yes,yes,NA
CTO,Nei,genus,included,yes,yes,NA
CGM,Species,NA,included,yes,NA,yes
HEB,Species,NA,included,yes,NA,yes
HEL,Species,NA,included,yes,yes,NA
XHC,Species,NA,included,yes,NA,yes
MPC,Species,NA,included,NA,yes,NA
BPF,Species,NA,included,NA,yes,NA
BPT,Species,NA,included,NA,yes,NA
BXP,Species,NA,included,NA,yes,NA
HYM,Species,NA,included,NA,yes,NA
HBY,Species,NA,included,NA,yes,NA
LSX,Species,NA,included,NA,yes,NA
RMQ,Species,NA,included,yes,yes,NA
PMB,Species,NA,included,NA,yes,NA
MDM,Species,NA,included,NA,yes,NA
MXW,Nei,genus,included,yes,yes,NA
SBM,Species,NA,included,yes,yes,NA
PEH,Species,NA,included,NA,yes,NA
MDI,Species,NA,included,NA,yes,NA
UDC,Species,NA,included,yes,yes,NA
UDF,Species,NA,included,yes,yes,NA
UDT,Species,NA,included,NA,yes,NA
UPY,Nei,genus,included,yes,yes,NA
ZUZ,Species,NA,included,NA,yes,NA
LPI,Species,NA,included,NA,yes,NA
IHL,Species,NA,included,NA,yes,NA
HPN,Species,NA,included,NA,yes,NA
HBU,Nei,genus,included,NA,yes,NA
HSR,Species,NA,included,yes,NA,yes
LCC,Species,NA,included,NA,yes,NA
QYP,Species,NA,included,yes,yes,NA
HSL,Species,NA,included,yes,NA,yes
HZY,Nei,genus,included,NA,yes,NA
PGP,Species,NA,included,yes,NA,yes
PQZ,Species,NA,included,NA,yes,NA
PGZ,Nei,genus,included,yes,yes,NA
